"","L","US","rep","dem","female","employed","nonhispanic_white","bachelors","above_median_income","zip"
"1355",8,8,0,1,0,1,1,1,1,77840
"1356",9,10,0,0,1,1,1,1,1,55416
"1357",7,7,0,0,1,1,1,0,0,96001
"1358",5,5,0,1,1,1,1,0,1,77407
"1359",7,7,0,1,0,0,1,1,0,91604
"1360",0,0,1,0,1,0,0,0,0,34982
"1361",3,4,0,0,0,1,1,0,0,39212
"1362",6,6,0,1,1,1,1,0,0,98382
"1363",9,9,0,1,1,1,1,1,1,98311
"1364",8,7,0,1,0,0,1,0,0,1440
"1365",0,0,1,0,0,1,1,1,1,28027
"1366",7,7,0,1,0,1,1,0,1,24087
"1367",5,5,0,0,1,0,1,0,0,85022
"1368",8,7,0,1,1,1,1,1,0,38122
"1369",6,8,1,0,0,1,1,1,1,66049
"1370",0,0,1,0,0,1,1,1,1,78737
"1371",6,6,0,0,0,0,1,1,0,33613
"1372",4,5,1,0,0,1,1,1,1,22124
"1373",4,6,0,0,0,0,0,0,0,90731
"1374",4,4,0,0,0,1,1,0,0,60188
"1375",2,2,0,0,1,0,1,0,1,83646
"1376",0,2,0,0,0,1,0,1,1,21043
"1377",0,0,0,0,0,1,1,0,0,77845
"1378",1,1,0,1,1,1,1,1,1,44286
"1379",7,7,0,1,0,1,1,0,1,77657
"1380",10,10,0,1,1,1,1,1,1,79901
"1381",8,8,0,1,1,1,1,1,0,57401
"1382",2,2,1,0,0,1,1,0,0,18042
"1383",10,10,0,1,1,1,1,1,1,7032
"1384",10,10,NA,NA,0,1,1,0,1,85742
"1385",0,0,0,0,0,1,1,0,1,32824
"1386",8,7,NA,NA,1,1,0,0,1,92083
"1387",7,7,0,1,1,0,0,0,0,33325
"1388",5,4,0,0,1,1,0,1,1,30350
"1389",3,3,0,1,1,0,1,0,0,98675
"1390",2,4,1,0,1,0,1,1,0,77562
"1391",10,10,0,0,1,1,1,1,0,23454
"1392",6,6,0,0,0,1,1,1,0,75703
"1393",2,3,0,0,0,0,1,1,0,33647
"1394",3,3,0,1,0,1,1,1,1,8205
"1395",10,9,0,0,1,1,1,1,1,20707
"1396",0,0,1,0,1,0,1,1,1,27886
"1397",7,7,0,1,1,0,1,1,0,92126
"1398",6,6,0,0,0,1,1,1,0,32828
"1399",5,8,0,0,1,1,1,1,0,1089
"1400",0,0,0,0,0,1,1,0,0,47303
"1401",7,8,1,0,1,1,1,1,0,60423
"1402",7,7,0,0,1,0,1,1,1,16105
"1403",6,7,0,0,0,1,1,1,1,22192
"1404",2,2,0,0,0,1,0,1,1,1844
"1405",8,9,0,0,0,1,1,1,1,89147
"1406",5,5,0,0,0,1,0,0,1,92126
"1407",4,6,0,0,0,1,1,1,1,14150
"1408",5,5,0,1,1,1,0,1,1,33903
"1409",3,3,0,0,1,1,1,0,0,60050
"1410",6,6,0,1,0,1,0,1,1,7087
"1411",6,7,0,0,1,1,1,0,0,92128
"1412",7,7,0,0,1,0,1,0,0,32073
"1413",10,10,0,0,1,1,1,0,0,77494
"1414",5,5,0,1,0,1,0,1,1,11206
"1415",2,3,0,0,0,0,0,0,0,91739
"1416",2,3,0,0,0,1,1,1,1,47396
"1417",2,2,0,0,0,1,1,1,0,79930
"1418",10,9,NA,NA,1,1,1,0,0,24504
"1419",10,10,0,0,1,0,1,0,0,19104
"1420",7,7,0,1,1,1,1,1,1,12234
"1421",10,10,0,1,1,1,1,0,1,33607
"1422",8,7,0,0,0,1,1,1,1,14304
"1423",4,4,0,0,0,1,1,1,1,55418
"1424",8,8,0,1,1,0,1,1,0,63031
"1425",6,6,0,1,1,1,1,0,0,21215
"1426",2,3,0,0,0,0,1,1,1,98513
"1427",3,5,0,0,1,1,1,0,0,54653
"1428",10,10,0,0,1,1,1,1,0,37771
"1429",8,8,0,0,1,1,1,1,1,89101
"1430",7,7,0,1,1,1,0,0,0,15062
"1431",4,5,0,0,1,0,1,0,0,98372
"1432",8,8,0,1,0,1,1,1,1,63109
"1433",8,8,0,1,0,1,0,1,1,8022
"1434",9,9,0,1,0,1,1,1,1,25401
"1435",0,0,1,0,1,1,1,1,0,35768
"1436",9,9,0,1,0,1,1,1,1,14223
"1437",0,0,0,0,0,1,1,1,1,52806
"1438",9,10,0,1,0,0,1,0,0,87002
"1439",0,0,1,0,0,1,1,0,0,35768
"1440",3,3,0,1,0,1,1,1,0,89012
